poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31*,J32*
A,Privat,,,,EAG,6,6,4,4,,4,4,,6,,<,<,<,4,,,,,,,<,<,,,,,,,,,6:3,3:3
G,Petric,,,,SCO,5,6,,,,,,5,,,,,,,,,5,5,,4,5,5,4,,,,,,,,,
G,Michel,,,,SCO,,,5,5,6,6,6,,6,6,6,7,6,5,5,5,,,5,,,,,7,5,6,6,5,4,6,4,
G,Letellier,,,,SCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
D,Thomas,,,,SCO,5,5,5,5,6,6,6,5,7,7,5,6,3,,4,4,5,5,4,5,6,6,4,7,7,6,6,6,5,5,5:1,5:1
D,I. Traoré,,,,SCO,5,5,4,6,,,6,5,6,6,5,7,6,4,5,,3,5,5,6,5,4,4,6,5,,,6,5,6,5:1/(-1),5:1/(-1)
D,Andreu,,,,SCO,4,5,5,5,6,6,,5,5,6,4,5,6,5,,5,5,Bl.,,,,,,,,,,,,,,
D,Manceau,,,,SCO,5,5,<,5,5,4,5,6,5,,5,6,4,4,5,4,,5,6,5,5,5,3,5,5,6,,,4,5,4,4
D,Pavlovic,,,,SCO,,,,,5,5,<,,,,,,<,6,5,6,,,4,<,7,5,,,,,,,,,:1,:1
D,Bamba,,,,SCO,,,,,,,,,,,,,,,,,,,,5,5,5,,,,<,6,7,,5,:(-1),:(-1)
D,Cissokho,,,,SCO,,,,,,,,,,,,,,,,,,,,,,,5,4,5,6,6,5,4,,4,
D,Martinez,,,,SCO,,,5,,,,4,,,5,,,,<,4,,3,4,,,,,,,,,,5,,,,
M,Mangani,,,,SCO,,,5,7,5,6,5,6,6,6,5,6,5,5,<,5,5,,6,5,6,5,5,5,7,5,7,6,5,7,5:2,5:2
M,Capelle,,,,SCO,5,<,,<,6,6,4,<,5,6,5,<,6,6,5,<,<,4,4,5,6,<,<,5,7,6,,,<,5,:2,5:2
M,N'Doye,,,,SCO,6,6,6,7,5,7,6,6,6,5,4,6,6,,6,7,4,6,6,,,,<,6,5,6,6,6,4,5,4:3,7:3
M,Bourillon,,,,SCO,,4,,,,,,,,,,,,,,,,,,,,<,,,,6,7,5,,,:1,:1
M,Laidouni,,,,SCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Santamaria,,,,SCO,5,<,5,5,6,6,5,5,5,6,4,5,6,6,,5,5,5,5,4,6,6,4,4,5,5,7,<,5,6,5:(-1),6:(-1)
M,Tahrat,,,,SCO,,,,,<,,,,,,,,,,,,,,,5,<,6,4,,<,,,,,,,
M,Tait,,,,SCO,,,,,,,,,,,<,,,,,,,,,<,<,7,3,<,,,6,5,,,<:1,:1
M,Saihi,,,,SCO,,,,,,,,,,,,<,,5,4,,,4,<,,,,,,,,,,,,,
M,Wissa,,,,SCO,,,,,,,,,,,,,<,,,,,,,<,,,,,,,,,,,,
M,Serin,,,,SCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Karanovic,,,,SCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Doré,,,,SCO,,,,,<,<,<,,<,,<,,,,,,<,,,,3,<,,,<,,,,,,,
A,Ketkeophomphone,,,,SCO,<,6,4,,,7,,,,,,,,,,,,,,,,,,,,,,,,,:1,:1
A,Diedhiou,,,,SCO,5,4,<,7,5,6,6,4,8,5,,7,5,4,<,6,4,5,4,,,,3,5,5,,,5,3,<,6:8,3:8
A,Toko Ekambi,,,,SCO,6,5,4,7,6,7,6,5,6,5,4,7,,<,5,6,4,5,<,,,,,,,5,7,7,3,5,4:5,6:5
A,Pépé,,,,SCO,<,<,<,7,<,<,,4,<,<,<,<,<,6,5,<,5,<,5,,,5,3,<,<,<,<,,<,<,<:3,<:3
A,Nwakaeme,,,,SCO,<,,,<,,,<,<,,<,,,,,,,,,,,<,,,,,,,,,,:(-1),:(-1)
A,Bamba,,,,SCO,,,,,,,,,,,,,,,,,,,,6,,,<,4,5,7,6,,3,7,4:2,<:2
A,Bérigaud,,,,SCO,,,,,,,,,,,,,,,,,,,,5,6,,,,,,<,,<,<,<,4
A,Sunu,,,,SCO,5,6,5,,,,,<,<,<,4,5,4,<,<,6,<,<,<,,,,,<,,<,<,<,,,,<
G,Ndy Assembé,,,,ASNL,4,5,4,7,6,7,5,6,3,4,7,4,7,5,6,,,,,,,,,,,,,,,,5,7
G,Chernik,,,,ASNL,,,,,,,,,,,,,,<,<,7,6,5,7,6,6,5,6,4,4,5,6,7,5,5,,
G,Menay,,,,ASNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Muratori,,,,ASNL,3,4,3,6,Bl.,,,,5,,,,,,,,,5,,5,,5,5,,,5,4,6,4,3,4,5
D,Lenglet,,,,ASNL,4,5,3,5,5,7,4,7,,7,5,3,5,6,6,3,4,4,7,,,,,,,,,,,,,
D,Diagne,,,,ASNL,5,,,,,,,,5,,,,,6,5,4,6,5,,6,3,6,6,4,4,5,<,6,6,5,,
D,Cuffaut,,,,ASNL,5,5,4,5,4,,,,5,,,,5,5,8,4,6,6,<,5,5,3,5,3,,5,5,5,5,5,Bl.:1/(-1),6:1/(-1)
D,Badila,,,,ASNL,5,,,,4,5,6,5,,4,6,3,6,5,5,3,5,,5,6,3,,6,4,4,4,4,,,,:1,:1
D,Maouassa,,,,ASNL,,,,,,,,5,,,,,,,,,,,,,3,,<,3,,,,6,4,7,4:1,7:1
D,Chrétien,,,,ASNL,,,,,,6,5,4,3,,5,3,,,,,,,,,,,,,,,,,,,5,7
D,Cabaco,,,,ASNL,,,,,,6,6,6,4,5,,<,4,,,,,,2,,,4,<,,4,,5,5,5,4,,7
D,Cétout,,,,ASNL,,5,3,7,4,5,6,4,,5,6,3,,,,,,,6,<,5,6,6,4,3,,4,,6,4,5:1,5:1
M,Koura,,,,ASNL,4,4,,<,<,4,3,4,6,6,,,,,<,,,,,,<,,,,,,,3,,,:1,:1
M,Aït-Bennasser,,,,ASNL,6,4,3,7,3,5,,4,<,,,,<,5,7,<,6,7,6,,,<,6,4,5,4,6,6,,4,:3,:3
M,Pedretti,,,,ASNL,5,4,4,5,3,,6,,6,6,8,5,6,,7,3,,6,Bl.,6,5,,,,4,<,6,<,<,,:1,7:1
M,N'Guessan,,,,ASNL,6,5,,,,,5,,,,<,,4,6,,4,<,,,,,,,,,,,,,,,
M,Robic,,,,ASNL,5,3,4,5,3,,<,,,<,<,3,5,5,,<,<,<,,,3,5,,<,3,<,,,,,,<
M,Marchetti,,,,ASNL,,,,<,,6,5,5,,7,5,4,,,5,,5,<,,,,5,,,<,,,,5,<,<,
M,Coulibaly,,,,ASNL,,,4,,,,,,,5,,,<,4,,,,,,4,,3,4,<,,,,,,<,,
M,Guidileye,,,,ASNL,,<,<,4,3,,,,4,,,3,,,,,6,5,5,7,4,6,,3,5,4,,4,,5,4,6
M,Diarra,,,,ASNL,,,,,,,,,6,6,7,,6,5,<,4,,,6,6,,,5,5,3,5,,,4,,4:2,<:2
M,Busin,,,,ASNL,,,,,,,,,,,,,,,,,,,,,,,,,,,<,<,<,<,4,
M,Puyo,,,,ASNL,<,<,3,4,4,,,<,,,5,3,,,6,4,6,5,4,<,5,,,,,5,4,5,,,:2,<:2
A,Dalé,,,,ASNL,4,3,<,<,<,4,,4,5,<,<,,,,,<,5,6,<,,,<,6,4,3,,,,,,<:1,7:2
A,Mandanne,,,,ASNL,4,<,<,,,4,3,<,<,,5,3,<,3,,,,,4,3,3,,,<,<,<,<,,4,,:1,:1
A,Hadji,,,,ASNL,,,4,6,4,<,Bl.,,,,,<,4,<,6,3,<,,,5,<,4,,3,,4,4,<,<,4,4,
A,Dia,,,,ASNL,,,,,,<,<,<,<,4,6,6,4,<,7,3,7,6,6,6,<,<,6,,3,3,6,5,5,7,4:6,8:8
A,Mabella,,,,ASNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Reynet,,,,DFCO,6,6,8,5,7,5,7,4,6,8,9,5,7,4,4,7,5,5,6,5,7,7,6,5,7,6,4,4,6,5,7,5
G,Leroy,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Allain,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Bernard,,,,DFCO,4,<,,,,,,,5,5,5,,,,6,,3,,,,,,,,,,,,,,,
D,Abdelhamid,,,,DFCO,5,6,5,3,5,3,,,,,5,,,5,4,4,,3,5,6,<,,,<,5,,4,,,,,
D,Varrault,,,,DFCO,5,6,5,5,5,,6,4,6,,,5,5,5,,4,4,5,,6,6,7,5,5,6,3,4,5,Bl.,,5:2,5:2
D,Chafik,,,,DFCO,4,6,6,3,,4,5,3,5,5,5,4,,6,,5,5,5,5,,,,5,3,5,4,,5,3,4,,6
D,Rüfli,,,,DFCO,,5,5,4,5,,6,5,,,,,5,<,5,5,,4,5,5,5,5,3,,4,,Bl.,,,,3,
D,Lotiès,,,,DFCO,,,,,,4,,,,7,,,,<,5,3,,,5,5,6,7,3,3,,4,4,6,5,4,5:2,5:2
D,Rosier,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Lang,,,,DFCO,,,,,,4,6,5,6,6,5,5,5,5,6,,4,5,3,,5,5,,,5,5,,,5,5,:(-1),:(-1)
D,Haddadi,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,<,5,4,4,6,5,5,6
D,Bouka Moutou,,,,DFCO,,,,,6,4,,,,,,4,5,4,,,,,,,,,,3,,,3,,,,,
M,Sammaritano,,,,DFCO,6,5,7,6,4,<,6,5,5,4,4,5,4,,6,<,6,<,,<,<,<,,,,,,5,4,6,<:3,6:3
M,Marié,,,,DFCO,5,5,5,5,,4,7,4,,,5,5,7,5,<,5,4,,,5,4,<,<,5,5,4,,,,<,<:1,:1
M,Balmont,,,,DFCO,6,6,6,5,6,5,6,,6,,,,,,,,,,,5,6,5,5,5,5,5,5,,,4,,
M,Amalfitano,,,,DFCO,4,5,6,,<,,,,5,,<,<,,,6,,<,,,4,,,,4,<,5,5,6,4,<,6,5
M,Bela,,,,DFCO,<,<,,,,,<,5,,<,,,<,,5,,,<,<,<,,,<,,,<,,4,,,,<
M,Gastien,,,,DFCO,,,<,,,5,<,5,6,5,4,<,,<,6,<,5,4,6,6,,,,,,,,,,,,
M,Lees-Melou,,,,DFCO,,,<,<,5,5,6,4,7,6,3,6,4,5,,6,5,5,6,6,5,8,7,5,,,,5,5,6,5:5,6:6
M,Belmonte,,,,DFCO,,,,,,,,,<,4,,,,,,,,,,,,,,,<,4,4,,<,,5,
M,Sarrabayrouse,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Abeid,,,,DFCO,,,,<,5,6,7,6,6,5,5,6,4,6,,5,7,6,7,,,6,5,Bl.,6,,,4,5,6,6:3,5:3
M,Chang-Hoon,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,<,<,<,,,6,
M,Martin,,,,DFCO,,,,,,,,,,,,,<,,,,,,,,6,6,6,3,,,,,<,5,<,<
A,Tavares,,,,DFCO,4,4,7,3,Bl.,,,,<,3,<,6,5,6,<,7,5,6,6,6,5,5,5,5,5,6,5,4,7,5,6:9,5:9
A,Bahamboula,,,,DFCO,4,6,<,5,4,5,<,3,,,,,,,,,<,,,,,,<,,,,,<,,,:1,:1
A,Diony,,,,DFCO,<,,5,7,6,<,8,6,6,6,4,8,4,7,<,7,6,6,7,6,7,6,5,<,7,6,4,,5,5,:8,3:8
A,Rivière,,,,DFCO,<,<,,,,,,<,,<,<,<,<,,4,,,<,<,,,,,,,,,<,,,:1,<:1
G,Didillon,,,,FCM,7,4,7,6,7,6,6,3,6,5,5,6,6,5,3,,4,4,,6,5,5,7,5,4,5,3,6,5,5,,5
G,Kawashima,,,,FCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Oberhauser,,,,FCM,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
D,Balliu,,,,FCM,4,,,<,,4,5,3,4,,,6,5,4,3,,,4,,7,5,5,5,6,,6,2,6,6,,:(-1),4:(-1)
D,Falette,,,,FCM,4,6,8,6,6,5,6,3,,4,6,5,6,5,3,,,5,6,6,6,6,6,4,3,6,3,4,4,7,:3,4:3
D,Milan,,,,FCM,5,5,7,6,6,3,<,,5,3,6,5,,,,,3,<,5,6,5,5,,,2,,,,,5,:1,:1
D,Rivierez,,,,FCM,6,4,5,7,6,,,,,3,3,,,,,,4,4,4,,<,,,<,2,,,,,,,
D,Basin,,,,FCM,<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Signorino,,,,FCM,,4,6,5,5,4,6,2,,4,,,,,,,,,,5,6,5,,,3,,3,5,,,,
D,Assou-Ekotto,,,,FCM,,,<,,,,,,5,,6,6,6,5,3,,3,,5,,,,5,4,,4,,,5,4,,2
D,Udol,,,,FCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Selimovic,,,,FCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Bisevac,,,,FCM,,,,,,,6,2,4,,,,8,6,4,,4,3,,,,,7,5,,5,3,6,7,5,,
D,Diagne,,,,FCM,,,,,,,,,,,,,,,,,,,,6,6,4,,,3,4,3,6,,,,3
D,Philipps,,,,FCM,,,,,,,,,5,,,,,,,,,,,6,5,4,6,4,<,,,,,,,
M,Nguette,,,,FCM,7,5,4,Bl.,,,,,5,4,5,6,5,5,4,,4,,5,5,5,4,5,<,<,4,<,<,<,5,:1,6:1
M,Cohade,,,,FCM,5,5,5,5,5,5,5,4,,4,5,6,,<,4,,6,6,4,7,7,,,6,3,6,,5,6,5,,6
M,Mollet,,,,FCM,5,<,4,,<,4,<,,6,,<,,<,,,,<,<,<,6,6,,,,3,,3,,<,,,<
M,Doukouré,,,,FCM,5,6,5,6,5,,5,3,,,5,,6,4,<,,4,6,5,,,<,6,6,3,,4,6,5,4,,5
M,Sarr,,,,FCM,<,<,<,7,5,4,5,4,,5,6,<,<,<,4,,<,6,3,,,,<,7,5,5,,4,7,Bl.,:2,:2
M,Mandjeck,,,,FCM,,4,5,6,5,5,5,4,5,6,5,5,7,5,4,,5,5,5,,,,,,,4,4,<,6,4,:2,5:2
M,Lejeune,,,,FCM,,,,,,,,,,<,<,4,6,4,5,,,,,<,,3,3,,,,<,,,,,<
M,Seydi,,,,FCM,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Thill,,,,FCM,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Maziz,,,,FCM,,,,,,,,,,,,,,,,,,,,,,,,,,,<,,,,,
M,Jouffre,,,,FCM,5,4,,<,,,,,,5,,<,6,5,4,,,,,,<,,<,5,,<,,5,6,6,:3,4:3
A,Erding,,,,FCM,7,4,4,8,4,3,6,5,3,6,4,4,,,,,,,,,<,,<,<,4,,4,<,<,,:6,:6
A,Vion,,,,FCM,,,,,,,,,,,,,,<,4,,<,<,4,<,,<,4,,,,4,,,,:2,:2
A,Diabaté,,,,FCM,,,,,,,,,,,,,,,,,,,,,7,4,6,7,,5,,7,4,4,:5,4:5
A,Hein,,,,FCM,,,,,,6,5,4,4,<,,<,,,,,3,5,<,,,<,,,,<,,,,,:1,:1
A,Diallo,,,,FCM,<,<,<,<,4,<,<,,<,<,<,5,5,4,<,,4,4,<,5,,,,,,,,,,,:1,:1
A,Mathis,,,,FCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<
