-------- 1 - Règles
Règles,
Buteur ou clean sheet,
<,entré en cours de match
Note > 7,
Note < 3,
Notes L1 = MonPetitGazon,
-------- 2 - OM
Olympique de Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poste,Nom,Tit.,Entrée,Buts,M. L1,J01(D): TFC,J02(E ): EAG,J03(D): FCL,J04(E ): OGCN,J05(D): OL,J06(E ): SRFC,J07(D): FCN,J08(E ): SMC,J09(D): FCM,J10(E ): PSG,J11(D): FCGB,J12(E ): MHSC,J13(D): SMC,J14(E ): ASM,J15(E ): ASSE,J16(D): ASNL,J17(E ): DFCO,J18(D): LOSC,J19(E ): SCB,J20(D): ASM,J21(E ): OL,J22(D): MHSC,J23(E ): FCM,J24(D): EAG,J25(E ): FCN,J26(D): SRFC,J27(D): PSG,J28(E ): FCL,,,,,,,,,,,
,,,,,,5.0,4.2,6.2,4.5454545454545459,5,4.4545454545454541,5.7,5.0,6.1,4.9,5.1,4.3,5.7,3.5,5.3,6.5,5.6,6.1,5.6,3.6,4.2,6.5,4.7,6.1,4.8,5.9,3.7,6.4,,,,,,,,,,,
-------- 3 - OL
Olympique lyonnais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poste,Nom,Tit.,Entrée,Buts,M. L1,J01(E ): ASNL,J02(D): SMC,J03(E ): DFCO,J04(D): FCGB,J05(E ): OM,J06(D): MHSC,J07(E ): FCL,J08(D): ASSE,J09(E ): OGCN,J10(D): EAG,J11(E ): TFC,J12(D): SCB,J13(E ): LOSC,J14(D): PSG,J15(E ): FCN,J16(E ): FCM,J17(D): SRFC,J18(E ): ASM,J19(D): SCO,J20(E ): SMC,J21(D): OM,J22(D): LOSC,J23(E ): ASSE,J24(D): ASNL,J25(E ): EAG,J26(D): DFCO,J27(D): FCM,J28(E ): FCGB,,,,,,,,,,,
G,Lopes,26,,,5.58,7,6,4,4,6,5,5,7,7,5,5,5,7,6,6,,8,5,6,5,6,4,5,6,4,,6,5,,,,,,,,,,,
G,Gorgelin,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
G,Mocio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Jallet,6,1,,6.00,,,,,,,,,,,,,,,,,,<,7,,,,5,7,4,6,7,,,,,,,,,,,,
D,Morel,22,,,5.00,6,,,3,4,6,5,5,4,,5,6,5,5,,,6,6,5,4,6,5,4,6,5,5,,4,,,,,,,,,,,
D,Rafael,19,1,,5.39,5,7,3,4,6,8,Bl.,,<,4,4,,5,6,7,,5,6,,4,6,4,,,,,7,6,,,,,,,,,,,
D,Yanga-Mbiwa,19,1,,5.16,5,6,4,4,5,,5,,4,,<,,6,5,6,,5,7,6,5,6,5,4,6,4,,,,,,,,,,,,,,
D,Rybus,11,5,,4.73,,5,4,,5,6,5,5,3,4,<,,5,4,6,,,<,<,<,,,,<,,,,,,,,,,,,,,,
D,Diakhaby,15,,1,5.57,,,,4,,,,,,4,6,5,5,5,8,,6,6,6,Bl.,,,,,5,6,7,5,,,,,,,,,,,
D,Mammana,13,,1,5.54,,,,,,7,5,6,4,,6,6,,,,,,,,,5,6,4,6,,4,6,7,,,,,,,,,,,
D,Gaspar,2,,,4.00,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Nkoulou,7,,,5.43,6,7,3,,6,6,,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,C. Grenier,,4,,,<,<,<,,,,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Ghezzal,11,8,2,5.00,,,,4,<,<,<,<,5,6,5,7,,4,5,,6,7,4,,,<,3,,4,5,<,,,,,,,,,,,,
M,Ferri,7,12,,4.86,<,<,<,4,4,,5,6,4,,,<,6,5,<,,<,,<,,<,,<,<,<,,,<,,,,,,,,,,,
M,Gonalons,21,,1,6.10,6,7,5,4,,,,,6,6,6,7,8,5,8,,6,,7,6,7,5,5,8,6,5,,5,,,,,,,,,,,
M,Tolisso,23,1,6,6.00,5,7,7,<,5,8,5,6,4,5,7,6,6,5,8,,6,5,,4,7,5,5,,,8,8,6,,,,,,,,,,,
M,Fekir,20,3,6,5.25,6,6,4,,,8,5,6,Exc.,,4,6,,4,<,,4,5,7,4,5,5,4,7,5,<,6,4,,,,,,,,,,,
M,Valbuena,10,10,7,5.64,<,<,3,,,<,6,4,,<,,,<,6,8,,7,7,5,5,7,4,<,Bl.,,,<,<,,,,,,,,,,,
M,Darder,11,7,1,5.36,5,5,6,4,5,6,,7,5,4,,<,<,,8,,<,,,<,,<,4,,<,,<,,,,,,,,,,,,
M,Tousart,11,5,,5.75,,,,<,5,6,5,6,,,<,,,<,,,,6,6,5,<,,,6,6,6,7,5,,,,,,,,,,,
M,Kemen,,2,,5.00,,,,,<,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Perrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Del Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Lacazette,22,1,22,6.10,9,7,Bl.,4,,,,,<,6,7,6,6,4,6,,5,6,7,7,8,5,4,7,6,6,8,4,,,,,,,,,,,
A,Kalulu,1,3,1,6.00,,,,6,<,,,<,,<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Mateta,,1,,,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Depay,5,3,3,5.50,,,,,,,,,,,,,,,,,,,,,<,4,3,7,<,7,8,4,,,,,,,,,,,
A,Cornet,14,9,2 / (-1),4.93,4,6,4,<,4,7,<,,,4,4,5,6,,<,,<,<,<,4,5,<,,6,4,<,6,<,,,,,,,,,,,
,,,,,,5.8,6.3,4.3,4.0909090909090908,5,6.6,5.1,5.8,4.4,4.7,5.4,5.8,5.9,4.9,6.9,,5.8,6.0,6.0,4.8,6.2,4.7,4.3,6.5,4.8,5.7,6.9,5.0,,,,,,,,,,,
-------- 4 - PSG
Paris SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poste,Nom,Tit.,Entrée,Buts,M. L1,J01(E ): SCB,J02(D): FCM,J03(E ): ASM,J04(D): ASSE,J05(E ): SMC,J06(D): DFCO,J07(E ): TFC,J08(D): FCGB,J09(E ): ASNL,J10(D): OM,J11(E ): LOSC,J12(D): SRFC,J13(D): FCN,J14(E ): OL,J15(D): SCO,J16(E ): MHSC,J17(D): OGCN,J18(E ): EAG,J19(D): FCL,J20(E ): SRFC,J21(E ): FCN,J22(D): ASM,J23(E ): DFCO,J24(D): LOSC,J25(E ): FCGB,J26(D): TFC,J27(E ): OM,J28(D): ASNL,,,,,,,,,,,
G,Sirigu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Areola,14,1,,5.07,,,,,5,7,5,6,6,5,6,,,5,6,3,4,4,,,,<,5,4,,,,,,,,,,,,,,,
G,Trapp,14,,,5.79,6,7,4,5,,,,,,,,6,6,,,,,,6,6,5,6,,,7,6,5,6,,,,,,,,,,,
D,Thiago Silva,21,,3,6.24,,,,,,6,6,6,6,7,6,7,6,6,8,3,6,4,8,6,6,6,8,6,,,7,7,,,,,,,,,,,
D,Marquinhos,20,1,1,5.70,,,,5,7,<,5,6,5,6,6,6,,6,,4,5,5,6,6,6,5,6,,7,5,7,,,,,,,,,,,,
D,David Luiz,3,,,5.33,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Kimpembé,13,,,5.92,6,7,4,5,6,7,,,5,,,,7,,6,,,,,,,,,6,7,5,,6,,,,,,,,,,,
D,Aurier,15,,(-1),5.53,5,7,6,,,,3,,,6,,6,6,6,,3,6,4,,,,,6,6,,6,,7,,,,,,,,,,,
D,Maxwell,11,,,5.91,,,,,8,7,5,,,5,,7,5,5,6,,,,,,6,,,6,,5,,,,,,,,,,,,,
D,Kurzawa,16,,2,5.75,6,8,4,5,,,,7,,,5,,,,,4,5,5,6,6,,6,5,,6,,7,7,,,,,,,,,,,
D,Meunier,13,3,1,6.46,,,<,6,8,6,,6,5,,7,,,<,6,,<,,8,6,7,7,,,5,,7,,,,,,,,,,,,
D,Rimane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,T. Motta,21,3,,6.05,5,7,5,7,<,7,<,7,,6,4,<,7,6,6,,5,5,7,6,5,5,7,7,7,6,,,,,,,,,,,,,
M,Matuidi,19,6,1,5.50,<,<,<,6,6,<,4,6,5,<,5,5,7,4,,4,4,5,7,6,5,5,6,6,,,8,6,,,,,,,,,,,
M,Verratti,17,3,2,6.12,<,<,4,6,,,,6,6,5,5,8,5,7,,,6,6,7,7,6,,,,7,<,7,6,,,,,,,,,,,
M,Rabiot,13,6,1,5.92,6,6,5,,7,6,5,<,<,6,<,8,,,,,,,,<,<,5,5,<,6,6,6,,,,,,,,,,,,
M,Pastore,5,3,,5.80,5,7,,,,5,<,,,,,,<,,,,,,,,,,,,,<,6,6,,,,,,,,,,,
M,Di Maria,16,5,2,6.00,6,8,4,<,6,6,5,7,,6,7,7,Bl.,,,4,6,4,,<,<,<,,7,7,,<,,,,,,,,,,,,
M,Augustin,1,9,1,5.00,,,,,<,<,<,,<,,,,5,<,<,<,,<,<,,,,,,,,,,,,,,,,,,,,
M,Nkunku,4,2,,4.00,,,,,,,,,,,,,,,,3,,4,5,,,,<,,<,4,,,,,,,,,,,,,
M,Ben Arfa,5,17,,5.00,4,<,<,5,,,,<,<,<,<,<,5,4,7,<,<,,,<,<,,<,5,<,<,<,<,,,,,,,,,,,
M,Krychowiak,7,4,,5.78,,,,5,7,,6,,7,,,,,<,6,5,5,5,<,,,,,,,,,6,,,,,,,,,,,
M,Jesé,2,7,1,4.50,<,,,4,<,,,,,<,<,5,<,,<,<,,,,,,,,,,,,,,,,,,,,,,,
M,Callegari,,1,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,
M,Draxler,6,3,2,5.17,,,,,,,,,,,,,,,,,,,,7,5,5,5,5,<,4,<,<,,,,,,,,,,,
M,Ikoné,2,2,,4.50,,,,,,,,<,4,,,,,,5,,,,<,,,,,,,,,,,,,,,,,,,,
A,Cavani,25,1,27,5.92,,4,5,<,9,6,3,8,6,3,6,7,,7,6,3,7,6,6,4,8,6,7,7,8,4,6,6,,,,,,,,,,,
A,Bahebeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Lucas,25,3,9,5.73,4,7,5,6,8,6,4,6,7,5,6,5,5,5,7,3,5,<,8,4,7,5,7,<,6,6,7,5,,,,,,,,,,,
A,Guedes,1,2,,4.00,,,,,,,,,,,,,,,,,,,,,,<,<,,,,,4,,,,,,,,,,,
A,Ongenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5.4,6.7272727272727275,4.5454545454545459,5.4545454545454541,7,6.2727272727272725,4.6363636363636367,6.4545454545454541,5.6363636363636367,5.4545454545454541,5.7272727272727275,6.5454545454545459,5.8181818181818183,5.5454545454545459,6.2727272727272725,3.5454545454545454,5.3636363636363633,4.7272727272727275,6.7272727272727275,5.8181818181818183,6,5.5454545454545459,6.0909090909090908,5.9090909090909092,6.6363636363636367,5.1818181818181817,6.6363636363636367,6,,,,,,,,,,,
-------- 5 - OGCN
OGC Nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L1,Buts,Moyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poste,Nom,Tit.,Entrées,Buts,M. L1,J01(D): SRFC,J02(E ): SCO,J03(D): LOSC,J04(D): OM,J05(E ): MHSC,J06(D): ASM,J07(E ): ASNL,J08(D): FCL,J09(D): OL,J10(E ): FCM,J11(D): FCN,J12(E ): SMC,J13(E ): ASSE,J14(D): SCB,J15(E ): EAG,J16(D): TFC,J17(E ): PSG,J18(D): DFCO,J19(E ): FCGB,J20(D): FCM,J21(E ): SCB,J22(D): EAG,J23(E ): ASM,J24(D): ASSE,J25(E ): SRFC,J26(E ): FCL,J27(D): MHSC,J28(E ): DFCO,,,,,,,,,,,
G,Cardinale,26,,,5.77,6,6,5,5,6,8,6,5,6,4,5,7,6,5,7,6,6,6,6,,,6,4,6,5,7,5,6,,,,,,,,,,,
G,Pouplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Benitez,2,1,,5.50,,,,,,,,,,,,,,,,,,,<,6,5,,,,,,,,,,,,,,,,,,
G,Hassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Boscagli,,1,,,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,,,,,,
D,Le Marchand,2,2,,5.00,,,,,,,,,,,,,,,,,,5,5,,,,,,<,<,,,,,,,,,,,,,
D,Baysse,16,1,2,5.69,6,6,6,5,7,7,6,5,7,,,,,,,,,,,5,,<,4,6,5,5,5,6,,,,,,,,,,,
D,Ricardo Pereira,16,,1,5.69,,5,4,7,,8,5,7,6,5,7,5,7,5,5,6,5,,,4,,,,,,,,,,,,,,,,,,,
D,Dalbert,24,,,5.21,5,5,5,4,5,6,5,5,5,,,4,6,5,5,6,6,,,5,6,5,4,7,4,6,5,6,,,,,,,,,,,
D,Sarr,23,,1,5.30,7,5,5,5,5,5,5,5,7,5,6,5,6,5,6,6,5,6,6,4,4,5,4,,,,,,,,,,,,,,,,
D,Souquet,16,,1,5.31,4,,,,5,,,,,5,5,,,,,,5,5,6,5,6,7,3,6,4,7,7,5,,,,,,,,,,,
D,Dante,24,,,5.62,,,,5,5,6,6,6,6,5,5,5,6,6,7,8,5,6,,5,5,5,4,6,5,6,6,6,,,,,,,,,,,
D,Burner,2,,,4.50,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,
D,Bodmer,7,5,,5.00,<,5,5,,5,<,6,5,,<,5,4,<,,<,,,,,,,,,,,,,,,,,,,,,,,,
M,Koziello,11,7,1,5.55,5,5,7,5,,6,,,<,,<,,<,,6,<,<,<,6,6,5,5,,,5,,<,,,,,,,,,,,,
M,Seri,24,,3,6.04,6,7,7,6,,7,,5,7,8,8,5,5,6,6,7,6,5,5,,,6,4,6,6,6,6,5,,,,,,,,,,,
M,Lloris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,P. Puel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Walter,13,4,,5.38,5,<,<,,6,,5,,6,7,,,6,5,<,5,5,5,,,5,<,,5,,,,5,,,,,,,,,,,
M,Lusamba,3,3,,4.33,5,<,<,,4,,,,,,<,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
M,Marcel,1,3,,4.00,4,,,,,,,,,,,,,,,<,,,,<,,<,,,,,,,,,,,,,,,,,
M,Cyprien,26,2,8,6.27,<,5,6,8,<,7,6,6,7,8,8,5,7,6,6,6,6,6,7,5,7,7,3,7,5,6,6,7,,,,,,,,,,,
M,Eysseric,15,6,2,5.73,,6,5,<,<,<,6,<,<,5,<,,7,5,6,5,,,,,,6,3,6,7,6,6,7,,,,,,,,,,,
M,Belhanda,19,3,3,5.26,,,,<,6,6,<,5,6,8,6,4,4,4,7,7,4,5,5,,,,<,5,4,5,4,5,,,,,,,,,,,
M,Obbadi,1,3,,6.00,,,,,,,,,,,,,,,,,,,,,,,,<,<,6,6,,,,,,,,,,,,
M,Srarfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,
M,Rafetraniaina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
