poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29*
A,Borja ,,,,S,,,,,<,<,3,<,4,<,4,,,<,,<,<,4,,,<,<,,<,,,,,<:1
A,Ayew,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,<,<,<,<,4
A,Routledge,,,,S,5,5,3,,,4,4,4,4,6,3,4,5,<,5,5,3,4,,5,3,6,4,4,<,4,,3,<:1
G,Hennessey,,,,P,5,6,,,,,,,,,,4,2,6,5,6,6,6,6,5,3,6,6,4,6,6,6,,6
G,Mandanda,,,,P,,,5,6,5,5,5,6,3,5,3,,,,,,,,,,,,,,,,,,
G,Speroni,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Ward,,,,P,4,5,5,5,6,6,8,5,3,3,4,5,2,5,4,4,4,6,4,5,4,5,5,3,5,5,7,,5
D,Dann,,,,P,5,4,7,6,7,,,,,3,4,4,3,6,3,5,5,6,4,,4,5,7,3,,<,<,,<:3
D,Delaney,,,,P,4,6,6,4,<,4,4,3,3,,4,,,6,4,5,4,3,,4,3,5,7,3,4,,,,<
D,Souaré,,,,P,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Kelly,,,,P,<,,<,5,5,4,5,4,4,3,4,4,4,<,4,4,5,6,5,3,,,,,,,,,
D,van Aanholt,,,,P,,,,,,,,,,,,,,,,,,,,,,,5,3,5,7,6,,:1
D,Sakho,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,6
D,Fryers,,,,P,,,,,,<,,<,<,,<,,<,,<,<,<,,,,,,,,,,,,
M,Townsend,,,,P,6,4,5,6,7,3,5,5,4,<,6,5,<,5,5,,<,8,5,4,4,<,<,<,5,5,7,,6:2
M,Jedinak,,,,P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Lee Chung-Yong,,,,P,5,5,<,<,<,<,<,,<,3,,<,,,,4,,,<,,<,<,,,,,,,
M,Puncheon,,,,P,6,4,7,6,8,5,5,5,,<,5,4,4,6,6,,3,6,4,4,3,6,6,3,4,6,6,,6
M,Zaha,,,,P,3,5,<,7,6,,6,4,7,4,5,5,5,5,8,4,5,5,4,6,,,5,3,4,5,6,,6:5
M,Cabaye,,,,P,<,<,3,,,5,<,<,7,5,5,4,4,,<,4,5,6,5,5,,5,5,5,<,6,7,,6:2
M,Bolasie,,,,P,<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Ledley,,,,P,,5,,5,6,6,4,4,5,4,<,,,6,4,<,5,,,4,3,<,<,<,,,,,:1
M,Tomkins,,,,P,,<,,,7,5,5,5,3,4,,4,5,7,,,,,4,4,3,4,6,3,4,6,6,,6:3
M,Mutch,,,,P,,<,,,,,,,,,,,,,,,,<,<,<,,,,,,,,,
M,McArthur,,,,P,,,5,5,7,7,4,4,4,6,5,5,4,6,5,6,4,,,,3,5,6,4,4,<,<,,:5
M,Sako,,,,P,,,,,,,,,,,,<,<,<,,,,,,<,,,,,,,,,<
M,Schlupp,,,,P,,,,,,,,,,,,,,,,,,,,,<,5,,,<,<,<,,5
M,Milivojevic,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,,5
M,Flamini,,,,P,,,,<,<,,,,,,,,,<,,5,,5,4,,,,<,,,,,,
A,Wickham,,,,P,4,4,4,,,<,,<,,,<,<,4,,,,,,,,,,,,,,,,:2
A,Benteke,,,,P,,,5,6,4,7,6,2,5,4,6,4,7,7,6,4,4,3,4,3,4,4,7,3,4,5,4,,3:9
A,J. Benteke,,,,P,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,
A,Campbell,,,,P,,,,,,,,,<,<,,,,,<,<,<,<,<,<,,,,,,,,,:1
A,Rémy,,,,P,,,,,,,,,,,,,,,,,,,,,<,4,,<,<,,,,
G,Foster,,,,WBA,6,6,6,6,6,5,5,6,6,4,5,6,5,6,5,6,5,8,5,6,5,6,6,6,5,6,4,4,5
G,Myhill,,,,WBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Rose,,,,WBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Palmer,,,,WBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Dawson,,,,WBA,6,4,5,5,5,6,6,4,4,3,5,6,5,5,5,,4,4,5,5,2,6,7,7,5,7,4,3,7:3
D,McAuley,,,,WBA,6,5,5,5,5,4,5,6,6,4,6,6,7,6,3,6,4,5,5,6,1,7,5,7,6,7,3,4,5:6/(-1)
D,Olsson,,,,WBA,6,4,,,,,,,4,4,,,,,,6,4,,,,2,,,,,,,,
D,Evans,,,,WBA,5,3,5,4,6,5,5,5,,3,6,5,5,7,5,,,6,5,5,,,,,<,7,4,3,6:1
D,Galloway,,,,WBA,,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,
D,Nyom,,,,WBA,,,,,<,5,5,5,5,3,5,7,6,6,4,7,5,5,5,<,,6,4,6,5,4,5,4,5
M,Phillips,,,,WBA,4,4,5,5,4,5,6,4,4,,7,8,6,7,4,7,4,5,8,8,3,6,3,5,4,,,,:4
M,Fletcher,,,,WBA,4,4,5,4,6,4,5,4,4,4,6,7,5,5,4,5,5,4,5,6,3,7,5,6,4,5,5,3,6:2
M,Yacob,,,,WBA,6,5,5,4,6,5,5,6,5,,5,7,5,6,4,6,5,5,5,6,3,6,6,,<,<,,5,<
M,Gardner,,,,WBA,5,6,<,<,,,,<,,,<,<,,,,<,,,,,,,,,,,,,
M,Morrison,,,,WBA,<,,,,<,<,,,<,<,6,8,4,6,4,6,<,,<,6,3,5,6,6,6,5,4,<,:5
M,McClean,,,,WBA,<,<,5,,7,4,5,6,4,3,,<,<,<,<,<,,<,<,<,<,<,<,<,,<,<,4,7:1
M,Leko,,,,WBA,,<,<,<,,<,,,,<,,,,,,,<,,,,,,,,,,<,,
M,Field,,,,WBA,,,6,5,,,,,,,,,,,,,,,,,<,,,<,,<,,,<
M,Chadli,,,,WBA,,,,5,8,5,7,6,4,3,,,<,<,<,6,3,4,4,5,4,6,6,7,6,5,4,4,7:5
M,Brunt,,,,WBA,,,,,,,,<,<,4,5,7,5,8,5,7,5,5,6,7,4,7,6,6,5,5,4,<,6:3
M,Livermore,,,,WBA,,,,,,,,,,,,,,,,,,,,,,<,,7,6,6,3,3,6
M,McManaman,,,,WBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Rondon,,,,WBA,7,4,4,<,7,6,4,4,4,3,5,7,4,4,4,8,3,4,<,6,3,4,5,6,4,5,3,<,4:7
A,Berahino,,,,WBA,4,3,<,4,,,,,,,,,,,,,,,,,,,,,,,,,
A,Robson-Kanu,,,,WBA,,,,,<,<,,,<,<,<,<,<,<,<,<,<,<,7,<,<,<,<,<,<,,<,3,<:2
A,Lambert,,,,WBA,,<,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Stekelenburg,,,,E,6,6,6,6,4,4,5,9,3,,4,5,6,4,5,5,5,,,,,,,,,,,,:(-1)
G,Robles,,,,E,,,,,,,,,,6,,,,,,,<,6,5,6,7,6,6,5,6,6,4,6,6
D,Holgate,,,,E,5,6,6,,,,,,,,,,,<,,,,5,,,6,6,5,<,,,,,
D,Jagielka,,,,E,6,5,7,6,5,5,6,4,4,<,3,4,4,,,5,,,5,,,<,,,,,,6,7
D,Funes Mori,,,,E,5,6,<,,,,<,<,,6,2,,,5,4,<,5,6,<,6,6,6,5,5,5,7,4,<,<
D,Williams,,,,E,,<,6,6,6,5,5,5,4,6,2,5,5,6,4,6,5,7,5,7,6,6,5,4,5,6,3,6,6:1
D,Coleman,,,,E,,,,6,7,6,5,5,4,6,2,7,5,5,3,6,6,4,5,7,6,7,5,5,6,8,3,6,6:4
D,Baines,,,,E,5,6,6,7,6,,,,,,,6,5,7,3,8,5,5,6,8,6,5,5,4,6,6,4,6,7:2
D,Oviedo,,,,E,,,,,,4,5,4,4,6,4,,,,,,,,,,,,,,,,,,
M,McCarthy,,,,E,5,5,,,,,,<,,,,5,,,5,5,4,,,,<,,<,7,,<,<,,:1
M,Gueye,,,,E,6,6,6,8,7,5,5,5,5,6,,7,5,6,4,6,5,6,6,6,,,,,6,8,5,<,7:1
M,Barry,,,,E,5,7,6,6,7,4,5,6,4,5,3,,5,4,6,,<,5,5,<,7,6,,6,<,,5,6,<:2
M,Lennon,,,,E,<,,,,,,,,,<,<,4,5,,<,5,5,5,,6,,,,,<,,,,
M,Cleverley,,,,E,<,,,,<,<,4,4,<,<,3,,,3,,,,<,,,,,,,,,,,
M,Schneiderlin,,,,E,,,,,,,,,,,,,,,,,,,,,<,<,7,6,5,7,3,7,5:1
M,Davies,,,,E,,,<,<,,,,,,,<,,,,,,,<,<,7,8,5,5,<,5,5,4,5,7:1
A,Barkley,,,,E,7,4,4,4,6,3,6,,5,7,2,5,4,,<,6,4,<,6,6,8,6,5,8,6,5,6,7,5:4
A,Deulofeu,,,,E,4,4,,<,<,<,,4,<,,,<,<,<,5,,,,,,,,,,,,,,
A,Mirallas,,,,E,5,6,5,7,5,5,<,<,5,5,<,<,<,5,4,<,,7,7,<,7,5,5,<,,<,<,7,:4
A,Koné,,,,E,<,,<,<,,,,,,,,,,,,,,,,,,,,,,,,,
A,Lukaku,,,,E,,<,5,9,7,4,7,6,5,8,3,5,4,4,7,5,3,6,5,7,7,4,4,9,3,7,6,7,9:21
A,Bolasie,,,,E,,<,6,8,6,4,6,4,7,7,4,5,4,5,,,,,,,,,,,,,,,:1
A,Calvert-Lewin,,,,E,,,,,,,,,,,,,,,,<,<,,<,5,,,,,,,,<,6:1
A,Lookman,,,,E,,,,,,,,,,,,,,,,,,,,,<,<,<,6,4,5,,,:1
A,Valencia,,,,E,,,,,<,<,,,<,,,<,<,<,<,5,5,,4,<,,,,,<,<,<,,<:2
G,Lloris,,,,T,5,,,6,6,6,8,5,6,4,6,5,4,5,6,7,5,5,6,6,5,4,,5,6,6,5,,5
G,Vorm,,,,T,<,6,6,,,,,,,,,,,,,,,,,,,,5,,,,,,
G,Pau Lopez,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Walker,,,,T,7,5,5,7,7,5,6,5,5,7,5,5,5,7,6,7,7,4,,5,8,5,5,5,3,6,5,,5
D,Alderweireld,,,,T,5,6,6,6,6,6,6,5,,,,,,,5,6,,,6,6,6,4,5,7,4,5,5,,5
D,Vertonghen,,,,T,5,6,5,6,7,5,6,5,6,6,5,6,5,6,4,6,7,6,,6,6,,,,,7,4,,5
D,Rose,,,,T,5,5,7,,,,5,,5,5,6,5,,5,5,7,8,6,7,5,6,5,5,,,,,,:2
D,Davies,,,,T,,,,5,<,4,,6,,,,,,,,,<,,<,,<,,<,4,4,6,6,,4
D,Carter-Vickers,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Trippier,,,,T,,,,,,,,,,,<,<,,,,,,,8,,,,,,,,,,<
D,Wimmer,,,,T,,,,,,,,,,,4,,4,,,,,,5,,,5,,,,<,,,:(-1)
M,Lamela,,,,T,6,5,6,<,<,<,3,6,5,,,,,,,,,,,,,,,,,,,,:1
M,Dier,,,,T,5,5,5,6,5,,<,<,5,5,5,6,4,7,,6,6,6,5,6,6,3,6,5,3,5,4,,6
M,Dele Alli,,,,T,4,<,6,8,5,4,6,6,4,5,,<,4,7,4,6,7,8,7,8,6,6,4,5,4,7,7,,6:14
