sheet,name,short_name,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31
12,SC Bastia,SCB,J01 (D): PSG,J02 (E): FCL,J03 (E): SMC,J04 (D): TFC,J05 (E): ASSE,J06 (D): ASNL,J07 (D): EAG,J08 (E): FCN,J09 (D): SCO,J10 (E): LOSC,J11 (D): DFCO,J12 (E): OL,J13 (D): MHSC,J14 (E): OGCN,J15 (D): FCGB,J16 (E): ASM,J17 (D): FCM,J18 (E): SRFC,J19 (D): OM,J20 (E): ASNL,J21 (D): OGCN,J22 (D): SMC,J23 (E): MHSC,J24 (D): FCN,J25 (E): TFC,J26 (D): ASM,J27 (E): SCO,J28 (D): ASSE,J29 (E): EAG,J30 (E): FCM,J31 (D): LOSC
13,Stade Rennais FC,SRFC,J01 (E): OGCN,J02 (D): ASNL,J03 (E): MHSC,J04 (D): SMC,J05 (E): ASM,J06 (D): OM,J07 (E): DFCO,J08 (D): EAG,J09 (D): FCGB,J10 (E): FCN,J11 (D): FCM,J12 (E): PSG,J13 (D): SCO,J14 (D): TFC,J15 (E): FCL,J16 (D): ASSE,J17 (E): OL,J18 (D): SCB,J19 (E): LOSC,J20 (D): PSG,J21 (E): EAG,J22 (D): FCN,J23 (E): FCGB,J24 (E): SCO,J25 (D): OGCN,J26 (E): OM,J27 (D): FCL,J28 (E): FCM,J29 (D): DFCO,J30 (E): TFC,J31 (D): OL
14,FC Nantes,FCN,J01 (E): DFCO,J02 (D): ASM,J03 (E): FCGB,J04 (D): FCM,J05 (E): ASNL,J06 (D): ASSE,J07 (E): OM,J08 (D): SCB,J09 (E): FCL,J10 (D): SRFC,J11 (E): OGCN,J12 (D): TFC,J13 (E): PSG,J14 (D): LOSC,J15 (D): OL,J16 (E): EAG,J17 (D): SMC,J18 (E): SCO,J19 (D): MHSC,J20 (E): TFC,J21 (D): PSG,J22 (E): SRFC,J23 (D): ASNL,J24 (E): SCB,J25 (D): OM,J26 (E): FCM,J27 (D): DFCO,J28 (E): ASM,J29 (E): MHSC,J30 (D): OGCN,J31 (D): SCO
15,AS Monaco,ASM,J01 (D): EAG,J02 (E): FCN,J03 (D): PSG,J04 (E): LOSC,J05 (D): SRFC,J06 (E): OGCN,J07 (D): SCO,J08 (E): FCM,J09 (E): ASM,J10 (D): MHSC,J11 (E): ASSE,J12 (D): ASNL,J13 (E): FCL,J14 (D): OM,J15 (E): DFCO,J16 (D): SCB,J17 (E): FCGB,J18 (D): OL,J19 (D): SMC,J20 (E): OM,J21 (D): FCL,J22 (E): PSG,J23 (D): OGCN,J24 (E): MHSC,J25 (D): FCM,J26 (E): SCB,J27 (E): EAG,J28 (D): FCN,J29 (D): FCGB,J30 (E): ASM
16,En Avant Guingamp,EAG,J01 (E): ASM,J02 (D): OM,J03 (E): ASNL,J04 (D): MHSC,J05 (E): TFC,J06 (D): FCL,J07 (E): SCB,J08 (E): SRFC,J09 (D): LOSC,J10 (E): OL,J11 (D): SCO,J12 (E): DFCO,J13 (D): FCGB,J14 (E): SMC,J15 (D): OGCN,J16 (D): FCN,J17 (E): ASSE,J18 (D): PSG,J19 (E): FCM,J20 (E): FCL,J21 (D): SRFC,J22 (E): OGCN,J23 (D): SMC,J24 (E): OM,J25 (D): OL,J26 (E): FCGB,J27 (D): ASM,J28 (E): MHSC,J29 (D): SCB,J30 (E): SCO,J31 (D): ASNL
17,SM Caen,SMC,J01 (D): FCL,J02 (E): OL,J03 (D): SCB,J04 (E): SRFC,J05 (D): PSG,J06 (E): SCO,J07 (E): FCGB,J08 (D): TFC,J09 (E): MHSC,J10 (D): ASSE,J11 (E): ASNL,J12 (D): OGCN,J13 (E): OM,J14 (D): EAG,J15 (E): LOSC,J16 (D): DFCO,J17 (E): FCN,J18 (D): FCM,J19 (E): ASM,J20 (D): OL,J21 (D): ASNL,J22 (E): SCB,J23 (E): EAG,J24 (D): FCGB,J25 (E): DFCO,J26 (D): LOSC,J27 (E): ASSE,J28 (D): SCO,J29 (E): OGCN,J30 (D): ASM,J31 (E): FCL
18,SCO d'Angers,SCO,J01 (E): MHSC,J02 (D): OGC,J03 (E): FCM,J04 (D): DFCO,J05 (E): FCGB,J06 (D): SMC,J07 (E): ASM,J08 (D): OM,J09 (E): SCB,J10 (D): TFC,J11 (E): DFCO,J12 (D): LOSC,J13 (E): SRFC,J14 (D): ASSE,J15 (E): PSG,J16 (D): FCL,J17 (E): ASNL,J18 (D): FCN,J19 (E): OL,J20 (D): FCGB,J21 (E): ASSE,J22 (D): FCM,J23 (E): TFC,J24 (D): SRFC,J25 (E): LOSC,J26 (D): ASNL,J27 (D): SCB,J28 (E): SMC,J29 (E): OM,J30 (D): EAG,J31 (E): FCN
19,AS Nancy-Lorraine,ASNL,J01 (D): OL,J02 (E): SRFC,J03 (D): EAG,J04 (E): FCL,J05 (D): FCN,J06 (E): SCB,J07 (D): OGCN,J08 (E): SRFC,J09 (D): PSG,J10 (E): FCGB,J11 (D): SMC,J12 (E): ASM,J13 (D): DFCO,J14 (E): MHSC,J15 (D): FCM,J16 (E): OM,J17 (D): SCO,J18 (E): TFC,J19 (E): ASSE,J20 (D): SCB,J21 (E): SMC,J22 (D): FCGB,J23 (E): FCN,J24 (E): OL,J25 (D): MHSC,J26 (E): SCO,J27 (D): TFC,J28 (E): PSG,J29 (D): LOSC,J30 (D): FCL,J31 (E): EAG
20,Dijon FCO,DFCO,J01 (D): FCN,J02 (E): LOSC,J03 (D): OL,J04 (E): SCO,J05 (D): FCM,J06 (E): PSG,J07 (D): SRFC,J08 (D): MHSC,J09 (E): ASSE,J10 (D): FCL,J11 (E): SCB,J12 (D): EAG,J13 (E): ASNL,J14 (E): FCGB,J15 (D): ASM,J16 (E): SMC,J17 (D): OM,J18 (E): OGCN,J19 (D): TFC,J20 (E): MHSC,J21 (D): LOSC,J22 (E): FCL,J23 (D): PSG,J24 (E): FCM,J25 (D): SMC,J26 (E): OL,J27 (E): FCN,J28 (D): OGCN,J29 (E): SRFC,J30 (D): ASSE,J31 (E): OM
21,FC Metz,FCM,J01 (D): LOSC,J02 (E): PSG,J03 (D): SCO,J04 (E): FCN,J05 (E): DFCO,J06 (D): FCGB,J07 (E): MHSC,J08 (D): ASM,J09 (E): OM,J10 (D): OGCN,J11 (E): SRFC,J12 (D): ASSE,J13 (E): TFC,J14 (D): FCL,J15 (E): ASNL,J16 (D): OL,J17 (E): SCB,J18 (E): SMC,J19 (D): EAG,J20 (E): OGCN,J21 (D): MHSC,J22 (E): SCO,J23 (D): OM,J24 (D): DFCO,J25 (E): ASM,J26 (D): FCN,J27 (E): OL,J28 (D): SRFC,J29 (E): ASSE,J30 (D): SCB
