poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28*,J29,J30*,J31*
D,Cabaco,,,,ASNL,,,,,,4,5,5,4,5,,<,6,,,,,,5,,,4,<,,4,,5,5,5,4,
D,Cétout,,,,ASNL,,4,4,7,5,5,5,5,,5,6,3,,,,,,,6,<,4,5,7,4,4,,6,:1,6,5:1,6:1
M,Koura,,,,ASNL,4,4,,<,<,4,3,4,4,6,,,,,<,,,,,,<,<,,,,,,4:1,,:1,:1
M,Aït-Bennasser,,,,ASNL,4,4,6,7,5,5,,5,<,,,,<,4,8,<,6,6,6,,,,6,5,4,4,5,5:3,,5:3,:3
M,Pedretti,,,,ASNL,3,5,5,5,6,,6,,6,7,6,3,6,,8,3,,5,5,6,5,,,,4,<,6,<:1,<,:1,:1
M,N'Guessan,,,,ASNL,3,6,,,,,4,,,,<,,5,5,,3,<,,,,,,,,,,,,,,
M,Robic,,,,ASNL,4,3,4,5,4,,<,,,<,<,3,5,5,,<,<,<,,,4,4,,<,4,<,,,,,
M,Marchetti,,,,ASNL,,,,<,,5,5,4,,5,5,4,,,6,,6,<,,,,3,,,<,,,,5,<,<
M,Coulibaly,,,,ASNL,,,4,,,,,,,5,,,<,4,,,,,,6,,4,5,<,,,,,,<,
M,Guidileye,,,,ASNL,,<,<,5,5,,,,5,,,4,,,,,6,5,<,6,5,5,,3,5,5,,5,,5,4
M,Diarra,,,,ASNL,,,,,,,,,6,5,7,,5,5,<,4,,,5,6,,,6,4,4,5,,:2,4,:2,5:2
M,Busin,,,,ASNL,,,,,,,,,,,,,,,,,,,,,,,,,,,<,<,<,<,4
M,Puyo,,,,ASNL,<,<,4,5,7,,,<,,,5,3,,,6,4,7,4,5,<,4,,,,,3,4,4:2,,:2,:2
A,Dalé,,,,ASNL,3,3,<,<,<,4,,4,4,<,<,,,,,<,4,6,<,,,<,7,4,3,,,:1,,:1,<:1
A,Mandanne,,,,ASNL,3,<,<,,,4,3,<,<,,6,3,<,4,,,,,4,4,3,,,<,<,<,<,:1,4,:1,:1
A,Hadji,,,,ASNL,,,2,5,4,<,Bl.,,,,,<,4,<,6,4,<,,,4,<,4,,3,,4,4,<,<,4,4
A,Dia,,,,ASNL,,,,,,<,<,<,<,6,6,3,4,<,7,3,7,4,5,6,<,<,7,,4,4,6,4:4,6,7:6,4:6
A,Mabella,,,,ASNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Reynet,,,,DFCO,5,5,6,4,6,5,6,4,5,7,8,4,6,4,4,5,5,5,7,5,6,7,4,5,7,5,5,5,6,5,5
G,Leroy,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Allain,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Bernard,,,,DFCO,5,<,,,,,,,5,6,6,,,,7,,4,,,,,,,,,,,,,,
D,Abdelhamid,,,,DFCO,5,5,5,3,5,4,,,,,7,,,3,5,4,,3,7,5,<,,,<,6,,4,,,,
D,Varrault,,,,DFCO,5,5,4,3,6,,5,4,6,,,6,5,5,,5,4,5,,5,5,5,4,7,6,4,5,5:2,Bl.,:2,5:2
D,Chafik,,,,DFCO,5,5,6,3,,4,5,5,7,7,7,4,,5,,3,5,4,6,,,,4,3,7,4,,4,4,5,
D,Rüfli,,,,DFCO,,5,5,4,5,,6,5,,,,,5,<,6,5,,5,4,5,5,5,3,,5,,Bl.,,,,4
D,Lotiès,,,,DFCO,,,,,,3,,,,7,,,,<,6,4,,,7,5,5,6,4,4,,4,4,5:2,5,5:2,6:2
D,Rosier,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Lang,,,,DFCO,,,,,,3,6,4,6,7,6,5,4,4,6,,5,5,5,,5,4,,,6,3,,:(-1),5,5:(-1),:(-1)
D,Haddadi,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,<,4,5,5,5,4,5
D,Bouka Moutou,,,,DFCO,,,,,6,3,,,,,,4,5,3,,,,,,,,,,4,,,4,,,,
M,Sammaritano,,,,DFCO,5,5,7,6,4,<,6,4,5,6,4,7,4,,6,<,5,<,,<,<,<,,,,,,5:3,4,4:3,<:3
M,Marié,,,,DFCO,5,5,6,3,,4,8,5,,,5,5,6,4,<,6,5,,,4,5,<,<,5,5,4,,:1,,<:1,<:1
M,Balmont,,,,DFCO,5,5,6,4,6,4,6,,6,,,,,,,,,,,6,6,5,4,4,5,4,4,,,4,
M,Amalfitano,,,,DFCO,5,3,5,,<,,,,5,,<,<,,,4,,<,,,5,,,,4,<,5,4,5,5,<,5
M,Bela,,,,DFCO,<,<,,,,,<,5,,<,,,<,,4,,,<,<,<,,,<,,,<,,4,,,
M,Gastien,,,,DFCO,,,<,,,3,<,5,5,5,6,<,,<,5,<,5,5,5,5,,,,,,,,,,,
M,Lees-Melou,,,,DFCO,,,<,<,5,4,5,5,7,6,5,6,4,6,,6,4,4,7,5,6,8,6,5,,,,4:5,6,5:5,4:5
M,Belmonte,,,,DFCO,,,,,,,,,<,5,,,,,,,,,,,,,,,<,5,4,,<,,5
M,Sarrabayrouse,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Abeid,,,,DFCO,,,,<,5,4,8,5,6,5,5,6,4,7,,4,7,5,7,,,7,6,Bl.,6,,,5:3,4,5:3,6:3
M,Chang-Hoon,,,,DFCO,,,,,,,,,,,,,,,,,,,,,,,,,,<,<,<,,,5
M,Martin,,,,DFCO,,,,,,,,,,,,,<,,,,,,,,6,6,4,5,,,,,<,4,<
A,Tavares,,,,DFCO,4,4,7,4,Bl.,,,,<,4,<,7,4,6,<,6,4,6,6,6,4,5,6,4,5,6,4,4:8,7,4:9,5:9
A,Bahamboula,,,,DFCO,5,4,<,4,5,4,<,4,,,,,,,,,<,,,,,,<,,,,,<:1,,:1,:1
A,Diony,,,,DFCO,<,,3,6,4,<,8,7,4,4,4,7,4,6,<,7,4,4,4,4,4,6,3,<,7,6,4,:8,5,3:8,:8
A,Rivière,,,,DFCO,<,<,,,,,,<,,<,<,<,<,,4,,,<,<,,,,,,,,,<:1,,:1,:1
G,Didillon,,,,FCM,5,4,8,6,8,5,6,2,6,4,5,6,5,5,4,,5,5,,6,7,7,6,5,4,5,2,7,4,5,
G,Kawashima,,,,FCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Oberhauser,,,,FCM,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
D,Balliu,,,,FCM,6,,,<,,4,6,3,4,,,6,5,6,2,,,4,,6,5,5,5,5,,5,2,6:(-1),6,7:(-1),:(-1)
D,Falette,,,,FCM,5,6,7,6,5,4,5,3,,3,4,5,5,6,3,,,4,5,5,6,5,6,5,3,6,3,5:2,6,Bl.:3,:3
D,Milan,,,,FCM,4,4,7,6,6,3,<,,5,4,5,6,,,,,4,<,5,5,6,4,,,3,,,:1,,5:1,:1
D,Rivierez,,,,FCM,4,4,5,7,6,,,,,2,5,,,,,,4,4,4,,<,,,<,3,,,,,,
D,Basin,,,,FCM,<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Signorino,,,,FCM,,3,6,6,5,3,5,3,,3,,,,,,,,,,5,6,3,,,3,,2,5,,,
D,Assou-Ekotto,,,,FCM,,,<,,,,,<,5,,5,6,7,4,3,,5,,5,,,,6,5,,5,,,5,5,
D,Udol,,,,FCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Selimovic,,,,FCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Bisevac,,,,FCM,,,,,,,5,1,4,,,,6,6,3,,5,4,,,,,6,5,,5,3,5,5,6,
D,Diagne,,,,FCM,,,,,,,,,,,,,,,,,,,,6,6,3,,,3,5,4,6,,,
D,Philipps,,,,FCM,,,,,,,,,5,,,,,,,,,,,5,5,4,6,5,<,,,,,,
M,Nguette,,,,FCM,6,3,5,Bl.,,,,,5,4,4,4,5,5,4,,3,,6,6,5,4,4,<,<,4,<,<:1,<,5:1,:1
M,Cohade,,,,FCM,5,5,6,5,6,4,5,2,,5,5,6,,<,3,,4,4,4,6,8,,,6,3,5,,5,5,5,
M,Mollet,,,,FCM,4,<,6,,<,5,<,<,5,,<,,<,,,,<,<,<,7,5,,,,3,,3,,<,,
M,Doukouré,,,,FCM,5,3,5,6,3,,6,4,,,5,,6,5,<,,3,5,5,,,<,5,5,4,,2,5,5,5,
M,Sarr,,,,FCM,<,<,<,6,3,3,6,3,<,3,5,<,<,<,3,,<,3,3,,,,<,6,3,4,,4:1,6,Bl.:2,:2
M,Mandjeck,,,,FCM,,4,5,6,5,5,5,3,5,6,5,5,7,5,3,,5,5,5,,,,,,,4,2,<:2,5,6:2,:2
M,Lejeune,,,,FCM,,,,,,,,,<,<,<,5,5,5,5,,,,,<,,4,5,,,,<,,,,
M,Thill,,,,FCM,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,
M,Seydi,,,,FCM,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,
M,Maziz,,,,FCM,,,,,,,,,,,,,,,,,,,,,,,,,,,<,,,,
M,Jouffre,,,,FCM,6,3,,<,,,,,,4,,<,6,6,4,,,,,,<,,<,4,,,,6:3,6,5:3,:3
A,Erding,,,,FCM,7,3,6,8,3,3,6,3,4,4,4,4,,,,,,,,,<,,<,<,3,<,3,<:6,<,:6,:6
A,Vion,,,,FCM,,,,,,,,,,,,,<,<,3,,<,<,6,<,,<,4,,,,3,:2,,:2,:2
A,Diabaté,,,,FCM,,,,,,,,,,,,,,,,,,,,,7,4,5,6,,5,,6:5,4,4:5,:5
A,Hein,,,,FCM,,,,,,4,6,3,4,<,,<,,,,,4,5,<,,,<,,,,<,,:1,,:1,:1
A,Diallo,,,,FCM,<,<,<,<,5,<,<,<,<,<,<,4,4,3,<,,4,4,<,4,,,,,,,,:1,,:1,:1
D,Thébaux,,,,SCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
A,Tell,,,,SMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<
